game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,category,mechanic,average_rating,users_rated,category_count,mechanic_count,has_expansion,binned_playtime,binned_mechanics,binned_min_age,binned_category,len_description,description_sentiment
17,2,5,10,2,5,Button Men,5,collectible components,dice rolling,6.3087,724,4,2,0,Short (0-30 minutes),Strategic Mechanics,Pre-Teen (10-12),Children's/Family,91,0.0939102564102564
18,8,120,12,2,45,RoboRally,120,miniatures,action / movement programming,7.15355,19371,3,4,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Real-life/Simulation,401,0.0028769841269841246
19,4,45,9,2,30,Wacky Wacky West,45,american west,tile placement,6.31166,1459,3,2,0,Medium (31-60 minutes),Strategic Mechanics,Middle Childhood (7-9),History/War,471,0.12056361607142857
20,4,90,12,2,90,Full Metal Planète,90,science fiction,action point allowance system,7.43592,602,1,1,1,Long (61-120 minutes),Unique Mechanics,Pre-Teen (10-12),Science Fiction/Futuristic,197,0.08541666666666665
22,16,240,12,1,240,Magic Realm,240,adventure,action / movement programming,7.14384,1709,3,6,0,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,437,0.060345586616773084
23,6,360,12,2,360,Divine Right,360,fantasy,dice rolling,6.95654,483,3,3,0,Extended (241+ minutes),Game Structure Mechanics,Pre-Teen (10-12),Fantasy/Adventure,47,0.16833333333333333
24,6,240,12,2,240,Twilight Imperium,240,civilization,dice rolling,6.66812,667,6,6,1,Very Long (121-240 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,111,-0.12291666666666667
26,6,360,12,3,360,Age of Renaissance,360,civilization,area movement,7.0993,1944,4,2,0,Extended (241+ minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,154,0.07476190476190475
27,6,340,12,2,340,Supremacy,340,economic,commodity speculation,5.57724,1201,3,2,1,Extended (241+ minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,83,-0.01574675324675324
28,8,180,12,2,60,Illuminati:  Deluxe Edition,180,card game,card drafting,6.5289,4274,4,5,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,100,-0.06587301587301589
29,4,120,10,2,120,Terrain Vague,120,fighting,action point allowance system,6.66639,61,2,2,0,Long (61-120 minutes),Game Structure Mechanics,Pre-Teen (10-12),Entertainment/Pop Culture,54,-0.01964285714285715
30,4,90,10,1,90,Dark Tower,90,adventure,area movement,6.6435,1052,5,2,0,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,227,0.024754901960784306
31,5,90,10,2,90,Dark World,90,adventure,dice rolling,5.18525,590,5,2,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,66,-0.05170454545454546
34,8,180,12,1,180,Arkham Horror,180,adventure,co-operative play,6.56386,453,3,1,0,Very Long (121-240 minutes),Cooperative & Social Mechanics,Pre-Teen (10-12),Fantasy/Adventure,50,-0.45
36,8,300,12,2,300,Federation & Empire,300,science fiction,hex-and-counter,6.23239,355,2,1,1,Extended (241+ minutes),Unique Mechanics,Pre-Teen (10-12),Science Fiction/Futuristic,466,0.06640170174652935
40,4,120,12,2,120,Borderlands,120,bluffing,area movement,6.77517,254,5,2,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,71,-0.03333333333333333
41,4,30,9,2,30,Can't Stop,30,dice,dice rolling,6.85659,9095,1,2,1,Short (0-30 minutes),Strategic Mechanics,Middle Childhood (7-9),Children's/Family,194,0.19047619047619047
42,4,90,12,2,90,Tigris & Euphrates,90,abstract strategy,area control / area influence,7.72379,20166,4,4,1,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,281,-0.06015037593984962
43,6,90,12,2,90,Airlines,90,aviation / flight,route/network building,6.61065,346,2,2,0,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Real-life/Simulation,104,0.0738095238095238
44,6,60,8,3,60,David & Goliath,60,card game,trick-taking,6.4529,1418,1,1,0,Medium (31-60 minutes),Card & Pool Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,125,0.18125
46,6,60,10,2,60,Medici,60,renaissance,auction/bidding,7.1502,5702,1,2,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Other,162,0.07083333333333332
47,5,60,12,3,60,Chinatown,60,city building,set collection,7.23234,5846,3,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Real-life/Simulation,97,-0.13333333333333333
48,4,90,12,2,90,Krieg und Frieden,90,medieval,auction/bidding,6.13737,646,2,1,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Fantasy/Adventure,149,0.0648358585858586
49,5,30,10,2,30,Mamma Mia!,30,card game,hand management,6.48827,4824,1,2,1,Short (0-30 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,241,0.17171897546897547
50,2,30,10,2,30,Lost Cities,30,card game,hand management,7.14784,26686,2,2,1,Short (0-30 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,468,-0.010030864197530867
51,15,30,10,1,30,Ricochet Robots,30,abstract strategy,grid movement,6.99357,6278,4,2,0,Short (0-30 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,120,-0.0021164021164021152
54,4,90,13,2,90,Tikal,90,exploration,action point allowance system,7.34313,13674,2,6,1,Long (61-120 minutes),Action & Movement Mechanics,Teen (13+),Fantasy/Adventure,79,0.056249999999999994
57,4,180,13,2,180,Schoko & Co.,180,economic,auction/bidding,6.6678,371,1,2,0,Very Long (121-240 minutes),Strategic Mechanics,Teen (13+),Strategy,83,0.2
58,4,120,12,2,120,Kings & Things,120,bluffing,area control / area influence,6.53692,1477,5,5,0,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,70,0.06666666666666665
59,4,90,10,3,90,Giganten,90,economic,auction/bidding,6.75663,1294,3,2,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,179,0.009090909090909096
60,6,90,14,3,90,Vinci,90,ancient,area control / area influence,7.13097,3712,3,3,0,Long (61-120 minutes),Action & Movement Mechanics,Teen (13+),History/War,151,0.05044011544011543
61,6,40,10,2,40,Fossil,40,ancient,set collection,5.41618,617,1,1,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),History/War,89,-0.08571428571428573
62,4,120,12,1,120,Curse of the Mummy's Tomb,120,adventure,action / movement programming,5.22768,298,3,1,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,111,0.033333333333333326
63,8,180,12,2,180,Samurai,180,political,area movement,6.38198,369,2,1,0,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,413,0.044601328903654515
66,4,90,12,2,90,Löwenherz,90,medieval,area control / area influence,7.08413,2193,2,3,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Fantasy/Adventure,87,0.17777777777777778
67,4,120,10,2,120,Conquest,120,abstract strategy,action point allowance system,6.27156,333,3,2,0,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,92,0.255
68,4,180,12,2,180,Successors (second edition),180,ancient,campaign / battle card driven,7.02629,439,2,2,0,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,98,0.16415251415251414
70,5,60,10,2,60,Big City,60,city building,hand management,6.9039,2164,1,3,0,Medium (31-60 minutes),Game Structure Mechanics,Pre-Teen (10-12),Real-life/Simulation,93,-0.0013392857142857234
71,7,360,12,2,360,Civilization,360,ancient,area control / area influence,7.52258,6178,4,5,1,Extended (241+ minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,319,0.09801887926887926
72,4,60,12,3,60,Verräter,60,card game,card drafting,6.74051,1709,2,5,1,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,100,0.04126984126984126
73,6,60,10,2,60,Show Manager,60,card game,card drafting,7.06054,1474,1,2,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,83,0.025
74,10,30,12,4,30,Apples to Apples,30,card game,hand management,5.95458,14611,3,3,1,Short (0-30 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,113,0.07178030303030304
75,8,5,8,4,5,Falling,5,card game,hand management,5.49601,1264,4,1,0,Short (0-30 minutes),Other,Middle Childhood (7-9),Unknown/Miscellaneous,109,-0.07108585858585859
76,6,120,10,2,120,Air Baron,120,aviation / flight,area control / area influence,6.38664,716,3,3,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Real-life/Simulation,98,-0.12291666666666667
77,2,240,12,2,240,EastFront,240,wargame,dice rolling,7.6713,626,2,3,1,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,309,0.1355324074074074
78,2,240,12,2,240,WestFront,240,wargame,dice rolling,6.89085,177,2,2,1,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,333,0.13453947368421051
82,2,240,12,2,240,Bobby Lee,240,american civil war,dice rolling,6.83287,297,2,2,0,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),History/War,348,0.1173611111111111
83,2,180,12,2,180,Sam Grant,180,american civil war,secret unit deployment,6.43277,119,2,1,0,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),History/War,347,0.11418918918918917
84,2,150,12,2,150,Rommel in the Desert,150,wargame,dice rolling,7.54068,878,2,2,0,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,305,0.10530303030303031
85,2,60,12,2,60,Quebec 1759,60,age of reason,dice rolling,6.93157,616,2,3,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,277,0.09707207207207208
87,6,180,12,2,180,Victory:  The Blocks of War,180,wargame,dice rolling,6.3167,402,2,3,1,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,171,-0.0859567901234568
88,4,60,12,2,60,Torres,60,abstract strategy,action point allowance system,7.17624,6980,2,6,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,88,0.1732142857142857
89,4,120,12,2,120,Blue vs. Gray,120,american civil war,dice rolling,6.76958,408,4,2,0,Long (61-120 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),History/War,251,0.17142857142857146
90,2,20,8,2,20,Star Wars: Episode 1 – Clash of the Lightsabers,20,card game,hand management,6.29314,531,3,1,0,Short (0-30 minutes),Other,Middle Childhood (7-9),Unknown/Miscellaneous,228,-0.03723958333333334
91,2,480,14,2,480,Paths of Glory,480,wargame,campaign / battle card driven,8.02578,3596,2,3,1,Extended (241+ minutes),Action & Movement Mechanics,Teen (13+),Strategy,497,0.023528054632705814
93,5,120,12,2,60,El Grande,120,renaissance,area control / area influence,7.80446,18423,1,7,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Other,325,0.04648432375705103
94,6,90,12,2,90,Union Pacific,90,economic,card drafting,7.24855,3932,2,3,0,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,172,0.04146825396825397
95,6,30,8,2,30,Igel Ärgern,30,animals,roll / spin and move,6.41002,960,4,1,0,Short (0-30 minutes),Action & Movement Mechanics,Middle Childhood (7-9),Children's/Family,133,-0.02539377289377289
96,2,60,10,2,60,Broadsides and Boarding Parties,60,nautical,action / movement programming,6.13295,495,3,4,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Real-life/Simulation,276,0.001711309523809527
97,6,180,10,2,180,Conquest of the Empire,180,ancient,area movement,6.26548,906,3,2,0,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,155,0.00555555555555556
98,5,180,12,2,180,Axis & Allies,180,economic,area movement,6.53855,8747,3,3,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,232,0.20524891774891776
99,4,180,12,2,180,Fortress America,180,science fiction,area movement,6.6939,2144,2,2,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Science Fiction/Futuristic,245,-0.008900226757369626
101,6,60,8,2,60,Detroit-Cleveland Grand Prix,60,card game,auction/bidding,6.7734,1023,2,1,0,Medium (31-60 minutes),Strategic Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,99,0.25
102,5,30,10,3,30,Klunker,30,card game,set collection,6.20877,800,1,1,0,Short (0-30 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,80,-0.1125
103,6,240,12,2,30,Titan,240,fantasy,dice rolling,6.96153,3570,2,5,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,196,0.020568783068783063
104,4,90,14,3,90,Extrablatt,90,territory building,area control / area influence,7.04646,246,1,4,0,Long (61-120 minutes),Strategic Mechanics,Teen (13+),Strategy,83,0.10111111111111111
105,5,60,8,2,60,Colossal Arena,60,card game,betting/wagering,6.79949,6292,3,2,0,Medium (31-60 minutes),Strategic Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,221,-0.001591614906832301
106,4,45,10,2,45,Mystery Rummy: Jack the Ripper,45,card game,hand management,6.97858,2895,2,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,91,0.05000000000000001
108,2,20,8,2,20,TAMSK,20,abstract strategy,area enclosure,6.78007,1234,2,2,0,Short (0-30 minutes),Action & Movement Mechanics,Middle Childhood (7-9),Strategy,99,0.07987012987012987
109,4,45,10,3,45,Wettstreit der Baumeister,45,city building,auction/bidding,6.11431,359,1,1,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Real-life/Simulation,321,-0.014012041598248499
110,6,60,8,2,60,Auf Achse,60,economic,auction/bidding,6.26805,1293,2,3,0,Medium (31-60 minutes),Action & Movement Mechanics,Middle Childhood (7-9),Strategy,97,0.04238636363636364
111,5,90,12,3,45,Rheinländer,90,abstract strategy,area control / area influence,6.61642,1396,3,3,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,118,0.03611111111111111
112,6,45,14,2,45,Condottiere,45,bluffing,area control / area influence,6.73922,6301,4,3,0,Medium (31-60 minutes),Strategic Mechanics,Teen (13+),Social/Party,192,0.006954887218045109
113,6,60,10,4,60,Mit List und Tücke,60,card game,trick-taking,6.61422,204,1,1,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,86,-0.004444444444444455
114,6,45,12,2,45,Ransom,45,abstract strategy,auction/bidding,6.42,70,5,6,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,108,-0.15416666666666667
115,6,60,12,3,60,I'm the Boss!,60,negotiation,dice rolling,6.82562,3062,1,5,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,197,0.0435515873015873
116,5,30,12,2,30,Guillotine,30,card game,hand management,6.53873,15334,2,1,0,Short (0-30 minutes),Other,Pre-Teen (10-12),Unknown/Miscellaneous,108,0.10992063492063492
117,4,45,10,2,30,Ta Yü,45,abstract strategy,partnerships,6.99002,1263,1,4,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,197,0.012445887445887448
118,5,45,10,3,45,Modern Art,45,card game,auction/bidding,7.30341,11439,2,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,129,-0.04642857142857142
119,4,45,9,2,45,Kingdoms,45,abstract strategy,tile placement,6.6327,3995,3,1,1,Medium (31-60 minutes),Pattern & Design Mechanics,Middle Childhood (7-9),Strategy,149,0.10297619047619049
120,6,45,12,2,45,Hoity Toity,45,bluffing,rock-paper-scissors,6.54518,4410,1,3,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Social/Party,130,0.01904761904761904
121,6,180,12,2,60,Dune,180,bluffing,area control / area influence,7.61137,4563,6,6,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,226,0.007303113553113547
122,5,45,12,3,45,Quo Vadis?,45,ancient,point to point movement,6.44426,1913,3,3,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,101,0.09090909090909091
124,4,90,12,3,90,Primordial Soup,90,prehistoric,dice rolling,6.98124,4240,1,5,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),History/War,99,0.04305555555555556
125,5,30,10,3,30,Money!,30,card game,auction/bidding,6.56467,2396,1,3,0,Short (0-30 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,58,0.033333333333333326
126,6,90,12,2,90,The Really Nasty Horse Racing Game,90,animals,betting/wagering,6.32087,654,2,1,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Real-life/Simulation,131,-0.2571428571428571
127,6,120,10,1,120,Princess Ryan's Star Marines,120,deduction,co-operative play,5.31929,197,2,3,0,Long (61-120 minutes),Cooperative & Social Mechanics,Pre-Teen (10-12),Mystery/Crime,100,0.06904761904761904
128,8,20,10,1,20,Take it Easy!,20,abstract strategy,tile placement,6.59535,2046,2,1,0,Short (0-30 minutes),Pattern & Design Mechanics,Pre-Teen (10-12),Strategy,223,0.053472222222222233
130,6,240,12,2,240,Iron Dragon,240,fantasy,crayon rail system,6.95603,1372,3,2,1,Very Long (121-240 minutes),Pattern & Design Mechanics,Pre-Teen (10-12),Fantasy/Adventure,241,0.15334295334295336
132,2,60,10,2,60,Caesar & Cleopatra,60,ancient,area control / area influence,6.4504,3837,3,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),History/War,227,0.11960784313725492
133,6,120,18,2,120,Frischfleisch,120,exploration,modular board,6.12852,142,2,1,0,Long (61-120 minutes),Game Structure Mechanics,Teen (13+),Fantasy/Adventure,98,0.1212121212121212
134,5,45,12,3,45,Cape Horn,45,nautical,tile placement,6.003,516,2,1,0,Medium (31-60 minutes),Pattern & Design Mechanics,Pre-Teen (10-12),Real-life/Simulation,75,0.05277777777777777
135,4,60,12,2,60,Kontor,60,city building,area control / area influence,5.97458,688,3,3,1,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Real-life/Simulation,152,-0.056655844155844175
137,10,20,12,2,20,Pass the Bomb,20,electronic,dice rolling,5.90016,935,4,1,0,Short (0-30 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,106,0.11428571428571428
139,12,45,10,3,45,Hoax,45,bluffing,voting,6.03409,198,2,1,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Social/Party,129,0.15833333333333333
141,5,60,10,3,60,Andromeda,60,science fiction,area control / area influence,6.41569,1189,3,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Science Fiction/Futuristic,398,0.06358654572940288
142,5,90,12,3,90,Vino,90,economic,area control / area influence,6.47906,639,1,3,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,66,0.19846938775510206
144,6,90,10,3,90,Elfenwizards,90,negotiation,dice rolling,6.175,104,1,1,0,Long (61-120 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Social/Party,83,0.15714285714285717
146,4,45,10,2,45,Buy Low Sell High,45,economic,commodity speculation,6.1628,825,1,1,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,112,0.1020408163265306
147,4,90,13,2,90,Crude: The Oil Game,90,economic,commodity speculation,6.77777,930,2,3,0,Long (61-120 minutes),Strategic Mechanics,Teen (13+),Strategy,259,-0.016333333333333335
148,6,60,8,3,60,Die Glücksritter,60,bluffing,rock-paper-scissors,5.7768,125,2,2,0,Medium (31-60 minutes),Others,Middle Childhood (7-9),Social/Party,68,0.05109126984126983
150,8,30,6,2,30,PitchCar,30,action / dexterity,modular board,7.24935,7562,5,1,1,Short (0-30 minutes),Game Structure Mechanics,Early Childhood (4-6),Unknown/Miscellaneous,325,0.04162257495590829
152,8,60,11,2,60,Mu & more,60,card game,partnerships,7.18178,1711,2,2,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,353,0.009195402298850576
153,6,60,10,2,60,Take 5!,60,card game,hand management,6.42598,1414,1,2,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,115,-0.1437342171717172
154,2,360,12,2,360,Union vs. Central,360,adventure,hand management,6.66914,81,6,2,0,Extended (241+ minutes),Other,Pre-Teen (10-12),Fantasy/Adventure,73,0.056249999999999994
155,4,60,12,3,60,Was sticht?,60,card game,card drafting,6.96495,573,2,2,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,208,0.016071428571428566
156,6,60,10,2,60,Wildlife Adventure,60,animals,point to point movement,6.89775,517,3,2,0,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,70,0.012499999999999997
157,6,240,10,2,180,Eurorails,240,economic,crayon rail system,7.05898,1561,3,3,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,134,0.06541514041514042
162,2,90,12,2,90,The Awful Green Things From Outer Space,90,science fiction,area movement,6.49136,2263,2,2,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Science Fiction/Futuristic,167,-0.13257575757575757
163,6,60,12,2,60,Balderdash,60,bluffing,paper-and-pencil,6.39247,3947,3,2,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Social/Party,165,0.006481481481481471
165,2,20,10,1,20,Black Box,20,abstract strategy,line drawing,6.35521,737,3,3,1,Short (0-30 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,91,-0.11770833333333336
166,6,120,0,2,120,Black Death,120,educational,action point allowance system,5.70588,119,2,5,0,Long (61-120 minutes),Action & Movement Mechanics,Toddler (0-3),Educational/Intellectual,67,0.11938775510204082
167,6,120,12,2,120,Dicke Kartoffeln,120,economic,commodity speculation,6.22465,142,2,1,0,Long (61-120 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,92,0.07499999999999998
168,6,180,12,2,180,Empire Builder,180,economic,action / movement programming,6.91675,2482,3,5,1,Very Long (121-240 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Strategy,337,0.1438665501165501
169,2,30,8,2,30,En Garde,30,card game,hand management,6.50667,1386,2,2,0,Short (0-30 minutes),Action & Movement Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,122,0.0956439393939394
170,6,30,8,2,30,Family Business,30,card game,hand management,6.1159,3409,2,3,1,Short (0-30 minutes),Strategic Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,241,0.005492424242424241
172,6,20,8,3,20,For Sale,20,card game,auction/bidding,7.22213,15544,2,2,1,Short (0-30 minutes),Strategic Mechanics,Middle Childhood (7-9),Unknown/Miscellaneous,174,0.1018989898989899
173,10,120,10,2,120,Formula Dé,120,racing,grid movement,6.99229,7085,2,6,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Real-life/Simulation,686,0.05233285233285233
174,5,45,10,3,45,T-Rex,45,card game,hand management,5.52782,248,1,3,0,Medium (31-60 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,117,0.06249999999999999
175,5,20,8,2,20,Raj,20,animals,simultaneous action selection,6.46531,1470,3,1,0,Short (0-30 minutes),Others,Middle Childhood (7-9),Social/Party,177,0.007146136691591234
176,8,30,10,3,30,Give Me the Brain!,30,card game,action point allowance system,5.85431,1919,2,3,0,Short (0-30 minutes),Strategic Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,97,-0.13154761904761905
178,2,15,8,2,15,Mole Hill,15,abstract strategy,area enclosure,5.94555,191,1,2,0,Short (0-30 minutes),Game Structure Mechanics,Middle Childhood (7-9),Strategy,202,0.040902777777777774
180,5,30,10,2,30,Pool Position,30,abstract strategy,simultaneous action selection,5.78083,120,2,2,0,Short (0-30 minutes),Pattern & Design Mechanics,Pre-Teen (10-12),Strategy,83,-0.008333333333333338
